"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree","HubScore","z","module","p","roles","label","role_7"
"MAG_260",3,0.346153846153846,0,3,0,-0.155300807010661,"2",0,"Peripherals","","ultra peripheral"
"MAG_263",1,1,0,1,0,0,"10",0,"Peripherals","","ultra peripheral"
"MAG_272",2,1,0,2,0,0,"61",0,"Peripherals","","ultra peripheral"
"MAG_273",15,0.733333333333333,1.49765512265512,15,0.828673274186019,0.264511456842727,"6",0,"Peripherals","","ultra peripheral"
"MAG_274",15,0.733333333333333,0.496836496836497,15,0.867025934513125,0.264511456842727,"6",0,"Peripherals","","ultra peripheral"
"MAG_275",1,1,0,1,0,0,"66",0,"Peripherals","","ultra peripheral"
"MAG_280",1,1,0,1,0,0,"14",0,"Peripherals","","ultra peripheral"
"MAG_282",1,0.6,0,1,0,-1.22474487139159,"8",0,"Peripherals","","ultra peripheral"
"MAG_284",2,0.571428571428571,0,2,0,-0.447213595499958,"20",0,"Peripherals","","ultra peripheral"
"MAG_285",4,0.428571428571429,0.583333333333333,4,0,0.670863179255864,"3",0,"Peripherals","","ultra peripheral"
"MAG_286",3,0.714285714285714,0,3,0,-0.912870929175277,"46",0,"Peripherals","","ultra peripheral"
"MAG_288",1,1,0,1,0,0,"67",0,"Peripherals","","ultra peripheral"
"MAG_289",1,1,0,1,0,0,"29",0,"Peripherals","","ultra peripheral"
"MAG_290",6,1,0.2,6,0,0.58554004376912,"42",0,"Peripherals","","ultra peripheral"
"MAG_291",1,1,0,1,0,0,"50",0,"Peripherals","","ultra peripheral"
"MAG_292",20,0.916666666666667,14.2390803640804,20,0.998250710396209,1.24576363545284,"6",0,"Peripherals","","ultra peripheral"
"MAG_293",5,1,1,5,0,0.912870929175277,"46",0,"Peripherals","","ultra peripheral"
"MAG_294",15,0.733333333333333,1.37814962814963,15,0.834055153867894,0.264511456842727,"6",0,"Peripherals","","ultra peripheral"
"MAG_298",3,0.6,0,3,0,-0.106198848810718,"4",0,"Peripherals","","ultra peripheral"
"MAG_299",1,1,0,1,0,0,"55",0,"Peripherals","","ultra peripheral"
"MAG_300",5,0.857142857142857,0,5,0,-1.4638501094228,"42",0,"Peripherals","","ultra peripheral"
"MAG_301",11,0.402439024390244,17.3468614718615,11,0,1.07612974728814,"1",0,"Peripherals","","ultra peripheral"
"MAG_303",6,1,0.2,6,0,0.58554004376912,"42",0,"Peripherals","","ultra peripheral"
"MAG_304",2,0.36734693877551,0,2,0,-0.745443873651175,"2",0,"Peripherals","","ultra peripheral"
"MAG_306",2,1,0,2,0,0,"61",0,"Peripherals","","ultra peripheral"
"MAG_307",2,0.75,0,2,0,0,"8",0,"Peripherals","","ultra peripheral"
"MAG_308",4,0.833333333333333,0,4,0,0.243975018237133,"34",0,"Peripherals","","ultra peripheral"
"MAG_309",1,1,0,1,0,0,"50",0,"Peripherals","","ultra peripheral"
"MAG_310",6,1,0.2,6,0,0.58554004376912,"42",0,"Peripherals","","ultra peripheral"
"MAG_312",2,0.75,0,2,0,0,"8",0,"Peripherals","","ultra peripheral"
"MAG_313",3,0.4,0,3,0,0.0479187985182761,"3",0,"Peripherals","","ultra peripheral"
"MAG_314",1,1,0,1,0,0,"67",0,"Peripherals","","ultra peripheral"
"MAG_315",6,1,0.2,6,0,0.58554004376912,"42",0,"Peripherals","","ultra peripheral"
"MAG_316",3,0.714285714285714,0,3,0,-0.912870929175277,"46",0,"Peripherals","","ultra peripheral"
"MAG_317",3,1,0,3,0,0,"62",0,"Peripherals","","ultra peripheral"
"MAG_318",15,0.733333333333333,0.496836496836497,15,0.863675685754037,0.264511456842727,"6",0,"Peripherals","","ultra peripheral"
"MAG_320",3,0.305555555555556,0.5,3,0,-0.874355419671613,"1",0,"Peripherals","","ultra peripheral"
"MAG_324",6,0.571428571428571,35.8333333333333,6,0,1.91675194073104,"3",0,"Peripherals","","ultra peripheral"
"MAG_331",4,0.521739130434783,29.25,4,0,0.670863179255864,"3",0,"Peripherals","","ultra peripheral"
"MAG_336",2,0.36734693877551,0,2,0,-0.745443873651175,"2",0,"Peripherals","","ultra peripheral"
"MAG_338",1,1,0,1,0,0,"21",0,"Peripherals","","ultra peripheral"
"MAG_339",4,0.358695652173913,62.9166666666667,4,0,-0.630544773801644,"1",0,"Peripherals","","ultra peripheral"
"MAG_340",3,0.4,21,3,0,0.0479187985182761,"3",0,"Peripherals","","ultra peripheral"
"MAG_343",9,0.392857142857143,2.54662337662338,9,0,0.588508455548201,"1",0,"Peripherals","","ultra peripheral"
"MAG_344",1,0.461538461538462,0,1,0,-0.866025403784439,"18",0,"Peripherals","","ultra peripheral"
"MAG_347",3,0.666666666666667,6.5,3,0,0.866025403784439,"18",0,"Peripherals","","ultra peripheral"
"MAG_349",2,1,0,2,0,0,"61",0,"Peripherals","","ultra peripheral"
"MAG_352",1,1,0,1,0,0,"45",0,"Peripherals","","ultra peripheral"
"MAG_354",2,1,0,2,0,0,"60",0,"Peripherals","","ultra peripheral"
"MAG_355",7,0.397590361445783,59.4419047619048,7,0,0.100887163808263,"1",0,"Peripherals","","ultra peripheral"
"MAG_361",1,0.227586206896552,0,1,0,-1.43427433120127,"5",0,"Peripherals","","ultra peripheral"
"MAG_362",1,0.28695652173913,0,1,0,-1.36197671141155,"1",0,"Peripherals","","ultra peripheral"
"MAG_365",13,0.428571428571429,27.8802208902209,13,0,1.56375103902808,"1",0,"Peripherals","","ultra peripheral"
"MAG_367",1,0.209302325581395,0,1,0,-1.33558694029169,"2",0,"Peripherals","","ultra peripheral"
"MAG_368",4,0.409090909090909,56.5,4,0,0.434842259629852,"2",0,"Peripherals","","ultra peripheral"
"MAG_370",2,0.75,0,2,0,0,"9",0,"Peripherals","","ultra peripheral"
"MAG_373",6,1,0.2,6,0,0.58554004376912,"42",0,"Peripherals","","ultra peripheral"
"MAG_374",1,0.461538461538462,0,1,0,-0.866025403784439,"18",0,"Peripherals","","ultra peripheral"
"MAG_376",3,0.714285714285714,0,3,0,-0.912870929175277,"46",0,"Peripherals","","ultra peripheral"
"MAG_377",1,1,0,1,0,0,"28",0,"Peripherals","","ultra peripheral"
"MAG_378",3,1,2,3,0,1.22474487139159,"8",0,"Peripherals","","ultra peripheral"
"MAG_380",2,1,0,2,0,0,"43",0,"Peripherals","","ultra peripheral"
"MAG_381",1,0.292682926829268,0,1,0,-1.1979699629569,"3",0,"Peripherals","","ultra peripheral"
"MAG_382",3,0.346153846153846,0,3,0,-0.155300807010661,"2",0,"Peripherals","","ultra peripheral"
"MAG_383",2,1,0,2,0,0,"60",0,"Peripherals","","ultra peripheral"
"MAG_384",2,0.5,1,2,0,0,"18",0,"Peripherals","","ultra peripheral"
"MAG_387",5,0.391304347826087,9,5,0,1.02498532627037,"2",0,"Peripherals","","ultra peripheral"
"MAG_388",3,1,2,3,0,1.22474487139159,"9",0,"Peripherals","","ultra peripheral"
"MAG_390",2,0.270491803278689,32,2,0,-1.11816606554158,"1",0,"Peripherals","","ultra peripheral"
"MAG_391",1,1,0,1,0,0,"59",0,"Peripherals","","ultra peripheral"
"MAG_392",2,0.302752293577982,0,2,0,-1.11816606554158,"1",0,"Peripherals","","ultra peripheral"
