"","ID","Description","K_num","Exist_K_num","Significant_K_num","Significant_up_num","Significant_down_num","Z_score","BG_Mean","BG_Sd","ReporterScore","p.value","p.adjust"
"map00770","map00770","Pantothenate and CoA biosynthesis",45,39,30,7,23,-10.4495933343822,-10.7255926524544,3.16087118321875,0.0873174837169972,0.463,0.486330275229358
"map00565","map00565","Ether lipid metabolism",31,25,19,6,13,-8.4342614831774,-8.70369503638905,3.17328442347934,0.0849068401237825,0.449,0.476148837209302
"map00254","map00254","Aflatoxin biosynthesis",20,3,2,0,2,-2.78848513726432,-3.02775919446945,3.13321742429976,0.0763668857926778,0.449,0.476148837209302
"map04070","map04070","Phosphatidylinositol signaling system",55,12,5,0,5,-6.07628505290452,-5.90774149459118,3.14984309472933,-0.0535085568533128,0.482,0.497732142857143
"map00332","map00332","Carbapenem biosynthesis",19,15,12,3,9,-6.59242052576571,-6.42255893086352,3.28219695477723,-0.0517524076838094,0.483,0.497732142857143
"map00542","map00542","O-Antigen repeat unit biosynthesis",35,28,19,3,16,-9.07594633161328,-8.97816610279158,3.17037959029537,-0.0308418049122569,0.496,0.50149889135255
"map00564","map00564","Glycerophospholipid metabolism",117,85,54,12,42,-15.4707331332398,-15.5508344699456,3.07612883980702,0.0260396559692917,0.489,0.497732142857143
"map00364","map00364","Fluorobenzoate degradation",18,15,10,3,7,-6.59563570846587,-6.52750857595102,3.08308110502897,-0.0220970938467099,0.493,0.499573333333333
"map00130","map00130","Ubiquinone and other terpenoid-quinone biosynthesis",60,55,44,12,32,-12.6739389588669,-12.6147261522792,3.18166242530789,-0.0186106502426824,0.505,0.508229074889868
"map02060","map02060","Phosphotransferase system (PTS)",72,50,33,2,31,-12.0985872796472,-12.1366559992016,3.13007284403034,0.0121622471589067,0.489,0.497732142857143
"map03440","map03440","Homologous recombination",72,40,23,3,20,-10.8043878143356,-10.8124429896019,3.19242751426864,0.00252321320696308,0.486,0.497732142857143
"map00363","map00363","Bisphenol degradation",2,2,1,0,1,NA,NA,NA,NA,NA,NA
"map00403","map00403","Indole diterpene alkaloid biosynthesis",13,2,1,0,1,NA,NA,NA,NA,NA,NA
"map00996","map00996","Biosynthesis of various alkaloids",15,1,1,0,1,NA,NA,NA,NA,NA,NA
"map04130","map04130","SNARE interactions in vesicular transport",35,1,1,1,0,NA,NA,NA,NA,NA,NA
"map04392","map04392","Hippo signaling pathway - multiple species",25,2,1,0,1,NA,NA,NA,NA,NA,NA
