"","ID","Description","K_num","Exist_K_num","Significant_K_num","Significant_up_num","Significant_down_num","Z_score","BG_Mean","BG_Sd","ReporterScore","p.value","p.adjust"
"map02025","map02025","Biofilm formation - Pseudomonas aeruginosa",90,85,63,8,55,-24.1914831865979,-15.7657707013717,3.2816735965393,-2.56750473115656,0.006,0.0282061855670103
"map03050","map03050","Proteasome",49,14,8,5,3,1.77232210110981,-6.36312674219224,3.2757817699254,2.48351368152566,0.014,0.0487328244274809
"map00253","map00253","Tetracycline biosynthesis",17,16,14,1,13,-14.6290366984998,-6.83960602711199,3.23787151588286,-2.4057256852775,0.005,0.0242553191489362
"map00040","map00040","Pentose and glucuronate interconversions",90,76,61,13,48,-22.4465100171768,-14.9159090709968,3.13877502650157,-2.3992165359406,0.005,0.0242553191489362
"map00280","map00280","Valine, leucine and isoleucine degradation",71,65,42,15,27,-6.43896218261089,-13.7378088962588,3.08253349539778,2.36780775441534,0.011,0.0407804878048781
"map00780","map00780","Biotin metabolism",24,18,12,0,12,-14.3059245198773,-7.2285730679013,2.99791815999847,-2.36075538899287,0.005,0.0242553191489362
"map00791","map00791","Atrazine degradation",16,14,11,1,10,-14.1007849912052,-6.37720860092007,3.29863159103345,-2.34144862108272,0.005,0.0242553191489362
"map03030","map03030","DNA replication",60,40,31,12,19,-3.84745862733915,-10.8197706607894,3.19567665570782,2.18179521416754,0.016,0.0532554744525547
"map04814","map04814","Motor proteins",113,20,16,7,9,-1.25531254805478,-7.75152019613473,3.05307868287632,2.127756380638,0.02,0.0603973509933775
"map00620","map00620","Pyruvate metabolism",133,114,78,27,51,-11.5665324118027,-18.1947312767215,3.11749265045182,2.12613135237326,0.019,0.0589387755102041
"map00670","map00670","One carbon pool by folate",65,49,31,10,21,-5.51555281597366,-12.1371070230546,3.23595101594702,2.04624673687871,0.03,0.08
"map03040","map03040","Spliceosome",123,34,21,8,13,-3.62268473155188,-10.0606509099605,3.15248389091246,2.04218844605902,0.023,0.0659622641509434
"map00624","map00624","Polycyclic aromatic hydrocarbon degradation",43,42,25,11,14,-4.57367482584613,-10.9621299287248,3.12948552337754,2.04137550889957,0.02,0.0603973509933775
"map02026","map02026","Biofilm formation - Escherichia coli",61,50,35,3,32,-18.5485281394651,-12.1669399467027,3.17539735384081,-2.00969752180573,0.019,0.0589387755102041
"map03022","map03022","Basal transcription factors",36,12,8,4,4,0.207670899290236,-5.95621004573181,3.06784042297479,2.00919216620958,0.03,0.08
"map00946","map00946","Degradation of flavonoids",21,4,4,0,4,-9.51602826554742,-3.36509817824506,3.12030614022905,-1.97125852748886,0.015,0.051044776119403
"map00515","map00515","Mannose type O-glycan biosynthesis",21,8,6,0,6,-10.8200419642384,-4.70857459713394,3.1371251478125,-1.94811079544148,0.024,0.0679751552795031
"map00362","map00362","Benzoate degradation",115,104,79,27,52,-11.1949867914406,-17.4315378329381,3.222746272337,1.93516662947687,0.032,0.0833828571428571
"map00260","map00260","Glycine, serine and threonine metabolism",109,97,80,17,63,-22.5722477644167,-16.7040319643953,3.08030359900704,-1.90507708458123,0.031,0.0821860465116279
"map04138","map04138","Autophagy - yeast",82,18,10,5,5,-1.03865945142949,-7.03642632765501,3.23847849645562,1.85203233024083,0.041,0.0944242424242424
"map01056","map01056","Biosynthesis of type II polyketide backbone",9,8,7,0,7,-10.7135812807645,-4.77843849285539,3.22151306406122,-1.84234633536668,0.03,0.08
"map00550","map00550","Peptidoglycan biosynthesis",53,43,33,3,30,-16.7338846210176,-11.1783103315102,3.0532094529201,-1.81958505473448,0.03,0.08
"map00520","map00520","Amino sugar and nucleotide sugar metabolism",157,142,113,35,78,-14.8277308061648,-20.3424822044598,3.04457454694807,1.81133728646029,0.032,0.0833828571428571
"map00340","map00340","Histidine metabolism",47,44,36,5,31,-16.7475500445834,-11.2180768504443,3.13918136287305,-1.76143795307145,0.036,0.0877860962566845
"map00450","map00450","Selenocompound metabolism",36,30,19,7,12,-3.82150991238312,-9.42372834699874,3.19653682148219,1.75258998956813,0.046,0.102823529411765
"map00625","map00625","Chloroalkane and chloroalkene degradation",43,36,24,8,16,-4.7546494003481,-10.1786446454196,3.1328494817377,1.73132966543383,0.046,0.102823529411765
"map00571","map00571","Lipoarabinomannan (LAM) biosynthesis",14,14,14,2,12,-11.7993072238875,-6.40177400566316,3.19464739635842,-1.68955523053247,0.043,0.0985326633165829
"map00900","map00900","Terpenoid backbone biosynthesis",63,40,33,12,21,-5.53950168929476,-10.9039263578185,3.18206783665543,1.68582976350437,0.05,0.109615384615385
"map00790","map00790","Folate biosynthesis",84,69,51,18,33,-9.23547481989237,-14.4416676091802,3.15005285879226,1.65273188186558,0.047,0.104546341463415
"map00750","map00750","Vitamin B6 metabolism",24,22,17,1,16,-13.3841353490503,-8.01225855298158,3.25176788037961,-1.65198654814241,0.036,0.0877860962566845
"map04113","map04113","Meiosis - yeast",103,21,12,6,6,-2.75450965938982,-7.84731951277503,3.18733402880472,1.5978274656375,0.058,0.121880184331797
"map00062","map00062","Fatty acid elongation",24,10,6,3,3,-0.430858352940338,-5.41969059525762,3.1770863842722,1.57025388639538,0.068,0.136599118942731
"map00591","map00591","Linoleic acid metabolism",27,17,12,6,6,-1.94692182564348,-7.08821009719096,3.30369336102162,1.55622441604496,0.065,0.132914798206278
"map00074","map00074","Mycolic acid biosynthesis",35,16,12,0,12,-11.7424614249121,-6.96657498635721,3.07023740579519,-1.55554304352498,0.056,0.118772093023256
"map00640","map00640","Propanoate metabolism",102,86,58,18,40,-10.6414731542437,-15.7143029031365,3.27828171292401,1.54740507165513,0.068,0.136599118942731
"map01057","map01057","Biosynthesis of type II polyketide products",73,72,55,8,47,-19.311692425502,-14.5680803841332,3.13705296662505,-1.51212366888155,0.067,0.135786666666667
"map00541","map00541","Biosynthesis of various nucleotide sugars",99,62,44,14,30,-8.5190409724005,-13.4618563960099,3.28917379477281,1.50275288933184,0.074,0.146077922077922
"map00920","map00920","Sulfur metabolism",118,94,67,21,46,-11.856965860562,-16.4796707463131,3.21005680062453,1.44006949810102,0.076,0.148102564102564
"map00600","map00600","Sphingolipid metabolism",52,33,22,3,19,-14.3153853021028,-9.93116027413305,3.05294752958693,-1.43606301303283,0.079,0.15264406779661
"map00513","map00513","Various types of N-glycan biosynthesis",55,26,20,7,13,-4.5040930368182,-8.84814345364269,3.04194314342132,1.42805115415098,0.086,0.164083682008368
"map00410","map00410","beta-Alanine metabolism",46,43,31,3,28,-15.6609982303655,-11.3260795862609,3.18592777352615,-1.36064561165704,0.092,0.172641975308642
"map04136","map04136","Autophagy - other",23,6,2,1,1,0.114126382245005,-4.13891628545218,3.13952117253622,1.3546787659538,0.094,0.174243902439024
"map00270","map00270","Cysteine and methionine metabolism",127,97,63,7,56,-21.074136710471,-16.7353567136136,3.28690428213521,-1.32002018447547,0.095,0.174677419354839
"map00401","map00401","Novobiocin biosynthesis",30,23,18,3,15,-12.4295293369302,-8.24288482641347,3.24940437293113,-1.28843444213751,0.096,0.175807228915663
"map00643","map00643","Styrene degradation",25,21,14,1,13,-11.7512984161224,-7.95536713006468,2.9824116819396,-1.27277240397241,0.094,0.174243902439024
"map00572","map00572","Arabinogalactan biosynthesis - Mycobacterium",13,12,12,1,11,-9.89505634577704,-5.94925285618486,3.12138575013036,-1.26411914625656,0.102,0.183841897233202
"map00552","map00552","Teichoic acid biosynthesis",41,23,16,0,16,-12.3172918763221,-8.27277472410935,3.27645888907753,-1.23441718304345,0.118,0.203049056603774
"map00300","map00300","Lysine biosynthesis",48,39,28,11,17,-6.65525061935373,-10.5597695989061,3.18312638741004,1.22663020701774,0.104,0.18525
"map01054","map01054","Nonribosomal peptide structures",66,48,36,7,29,-15.7608945518397,-11.8791692082389,3.20938271428415,-1.20949281814355,0.117,0.202859315589354
"map00010","map00010","Glycolysis / Gluconeogenesis",107,91,66,19,47,-12.6514705247795,-16.2478688918223,3.04971840382067,1.17925588229302,0.12,0.204179104477612
"map00514","map00514","Other types of O-glycan biosynthesis",31,11,9,1,8,-9.55829806701347,-5.78543738755752,3.2357055939836,-1.16600864011581,0.125,0.210332103321033
"map00531","map00531","Glycosaminoglycan degradation",15,14,12,5,7,-3.0169449998931,-6.48838617483264,3.05173604875105,1.13752995655056,0.139,0.226371428571429
"map01059","map01059","Biosynthesis of enediyne antibiotics",73,71,54,8,46,-17.9189123431842,-14.4067623265467,3.14412586527637,-1.11705134181351,0.128,0.213021897810219
"map00510","map00510","N-Glycan biosynthesis",49,21,15,5,10,-4.29138388112415,-7.86105025899495,3.21138587906956,1.11156569540159,0.138,0.225548387096774
"map00907","map00907","Pinene, camphor and geraniol degradation",25,22,17,7,10,-4.96814407093724,-8.28896686469362,3.00400497165577,1.1054651457271,0.135,0.221438848920863
"map00290","map00290","Valine, leucine and isoleucine biosynthesis",19,17,12,1,11,-10.544670517876,-7.20544332586323,3.10215976506538,-1.07642012175422,0.148,0.235149825783972
"map00904","map00904","Diterpenoid biosynthesis",71,12,8,3,5,-2.59759893186141,-6.03056348844985,3.20489888111454,1.07116158229448,0.14,0.227188612099644
"map00500","map00500","Starch and sucrose metabolism",106,85,60,15,45,-12.4643255228014,-15.8168908789925,3.16302059993011,1.05992523610664,0.152,0.240666666666667
"map00404","map00404","Staurosporine biosynthesis",40,24,17,3,14,-11.7168582193343,-8.42499624890632,3.15897387856644,-1.04206685365877,0.148,0.235149825783972
"map00906","map00906","Carotenoid biosynthesis",56,45,26,6,20,-8.04385984185991,-11.3475600894763,3.19237179340927,1.0348732733565,0.156,0.243616438356164
