"","KO_id","average_RP","sd_RP","average_RS","sd_RS","diff_mean","Highest","p.value","p.adjust","sign","type","origin_p.value","origin_p.adjust","Z_score","Significantly","gene","Description"
"145","K00164",16999.1901715294,3013.11059737673,15333.0568168235,1852.97267662351,-1666.13335470591,"RP",0.0610922973114119,0.0764050337207229,-1,"Depleted",0.122184594622824,0.152810067441446,-1.42967587506105,"None","OGDH, sucA","2-oxoglutarate dehydrogenase E1 component  [EC:1.2.4.2] "
"146","K00166",2709.15694764706,423.611839573559,2293.78279717647,454.439311607287,-415.374150470588,"RP",0.00269678275026195,0.00463184940273237,-1,"Depleted",0.00539356550052391,0.00926369880546474,-2.60216604590915,"Depleted","BCKDHA, bkdA1","2-oxoisovalerate dehydrogenase E1 component alpha subunit  [EC:1.2.4.4] "
"147","K00167",3856.93685764706,620.408086910583,4164.82415829412,659.209623566382,307.887300647059,"RS",0.0748530474006022,0.0920562503271961,1,"Enriched",0.149706094801204,0.184112500654392,1.32819861859208,"None","BCKDHB, bkdA2","2-oxoisovalerate dehydrogenase E1 component beta subunit  [EC:1.2.4.4] "
"148","K00169",237.981541294118,59.9755622642204,514.311168,104.652287935836,276.329626705883,"RS",8.35616559163953e-08,3.74008303804238e-07,1,"Enriched",1.67123311832791e-07,7.48016607608476e-07,4.94846337715738,"Enriched","porA","pyruvate ferredoxin oxidoreductase alpha subunit  [EC:1.2.7.1] "
"149","K00170",144.563774705882,44.6913824491266,290.246847235294,57.7770122604747,145.683072529412,"RS",8.35616559163953e-08,3.74008303804238e-07,1,"Enriched",1.67123311832791e-07,7.48016607608476e-07,4.94846337715738,"Enriched","porB","pyruvate ferredoxin oxidoreductase beta subunit  [EC:1.2.7.1] "
"150","K00171",67.7596841764706,29.0719985715259,182.935201705882,37.4690226890183,115.175517529412,"RS",1.71408524956708e-09,1.42426407210405e-08,1,"Enriched",3.42817049913417e-09,2.8485281442081e-08,5.55050055033285,"Enriched","porD","pyruvate ferredoxin oxidoreductase delta subunit  [EC:1.2.7.1] "
"151","K00172",106.936421294118,32.2195042007055,137.703291529412,41.5999144153437,30.7668702352941,"RS",0.00588413498486476,0.00934877081258534,1,"Enriched",0.0117682699697295,0.0186975416251707,2.3515069241594,"Enriched","porC, porG","pyruvate ferredoxin oxidoreductase gamma subunit  [EC:1.2.7.1] "
"152","K00174",9822.90440923529,1730.83227286716,10178.4860042353,1189.6789548032,355.581595000007,"RS",0.178530060654364,0.200531946103045,1,"Enriched",0.357060121308727,0.40106389220609,0.839722684129785,"None","korA, oorA, oforA","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha  [EC:1.2.7.3 1.2.7.11] "
"153","K00175",8746.95885282353,1883.41473109399,9298.97709594118,1009.42710904341,552.018243117649,"RS",0.053047123348857,0.0673081847528969,1,"Enriched",0.106094246697714,0.134616369505794,1.49614309596177,"None","korB, oorB, oforB","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta  [EC:1.2.7.3 1.2.7.11] "
"154","K00176",51.6111572352941,14.6360023197239,125.509781411765,24.7591474370367,73.8986241764706,"RS",8.57042624783542e-10,8.46496571156181e-09,1,"Enriched",1.71408524956708e-09,1.69299314231236e-08,5.6407619258295,"Enriched","korD, oorD","2-oxoglutarate ferredoxin oxidoreductase subunit delta  [EC:1.2.7.3] "
