,YL.RP.1488,YL.RP.342,YL.RP.348,YL.RP.977,YL.RP.995,YL.RP.9,YL.RP.Si051,YL.RP.Si062,YL.RP.Si079,YL.RP.Si080,YL.RP.Si081,YL.RP.Si083,YL.RP.Si090,YL.RP.Si214,YL.RP.Si248,YL.RP.Si249,YL.RP.Si268,YL.RS.1488,YL.RS.342,YL.RS.348,YL.RS.977,YL.RS.995,YL.RS.9,YL.RS.Si051,YL.RS.Si062,YL.RS.Si079,YL.RS.Si080,YL.RS.Si081,YL.RS.Si083,YL.RS.Si090,YL.RS.Si214,YL.RS.Si248,YL.RS.Si249,YL.RS.Si268
MAG_392,24.4789,19.370833,66.765851,11.47113,15.20069,12.708866,7.716484,12.852487,19.191314,43.116163,99.359659,47.807851,74.482289,49.852754,46.158439,36.084621,32.197156,27.989764,22.106557,96.347299,29.987333,24.222117,16.893962,45.321267,33.584541,65.057262,294.44252,491.899846,110.370265,241.054933,425.414426,158.712547,95.084231,99.149762
MAG_393,289.831599,188.51578,301.326574,199.980027,316.428843,408.450327,87.795147,85.917729,154.816592,173.347555,163.348897,224.067409,250.273287,184.434637,270.78923,203.991958,195.401419,835.596343,595.962631,573.576299,872.867802,251.854526,634.608679,668.889439,465.08163,813.894336,479.718549,787.926277,922.351515,532.459756,615.183842,798.381598,1060.950742,748.278791
MAG_394,974.530664,1011.854396,363.349443,212.331827,2052.10371,2813.848766,78.162355,413.054175,330.021604,614.26746,376.838813,966.206239,898.680146,278.203027,444.911452,1001.188563,273.959881,3674.847169,3459.79887,755.438249,351.940139,10147.97686,3950.174815,842.562312,2111.596695,1611.359105,3382.20149,2596.93077,4390.536028,1531.583502,795.567693,846.876271,1719.778846,1363.060101
MAG_395,42.824463,30.624664,158.730283,51.033222,19.3573,34.039943,25.215228,23.812258,27.076837,38.434978,74.413753,38.199869,72.984309,57.482412,81.478446,56.466319,48.680743,153.759286,95.216945,495.479386,264.608497,77.840526,83.771059,375.941459,233.024582,271.784727,428.016172,390.263454,153.180815,431.280223,433.269679,251.375345,151.247469,253.899991
MAG_396,505.9451,409.304256,738.495573,382.976615,510.711437,622.464233,210.286732,231.650594,300.893814,400.064485,380.594055,562.173332,617.734114,274.804715,742.426795,840.014494,327.522302,1443.540298,2413.069624,1995.441631,2322.16392,4278.666807,2004.712314,1920.557692,1845.742649,2222.055828,2596.120013,2153.671692,2135.442642,3577.866704,1369.193499,2136.031253,3875.689858,1572.797478
MAG_397,375.636357,360.540763,386.164371,291.297947,375.302079,421.229596,103.179674,184.067473,253.576465,285.980712,327.110022,376.766851,415.068768,191.234877,506.633514,531.571035,243.103538,613.009451,681.006718,669.959009,640.566835,1131.950887,507.904764,631.480599,654.597696,818.463004,472.704217,670.800437,1112.814716,605.714571,404.760587,806.959415,636.708357,533.227576
MAG_398,172.064966,123.931997,154.225427,121.631539,174.809763,164.397002,50.959695,67.502315,87.594243,104.162244,88.389801,123.724182,144.604626,86.562225,166.837684,132.838012,91.68644,390.034708,254.004991,253.918704,319.329422,440.920834,220.314317,328.234142,210.986521,304.574386,209.503764,277.524515,341.74121,206.686965,229.416949,373.365983,428.997881,296.386717
MAG_399,294.122956,255.664468,380.674312,240.204082,306.764209,357.738398,90.427348,127.86913,141.449859,221.968167,211.763264,245.539516,304.256189,199.28538,321.470367,267.936739,227.420629,777.036901,835.062739,1220.163066,1461.559578,557.313668,885.098915,604.876498,583.50144,865.50828,581.120778,849.467269,1004.031144,867.161197,668.493704,918.147172,1037.737575,700.345184
MAG_400,208.267691,175.103855,289.824164,180.888773,236.835161,299.470137,83.78467,81.935588,117.668372,140.472388,159.895653,182.093531,222.215067,163.146945,263.847328,168.620429,191.141136,573.704541,470.531904,475.464069,607.644562,265.537777,418.94554,615.428817,355.050433,540.143166,379.29321,578.911751,560.957949,437.125098,510.838281,686.608315,721.207186,697.108816
MAG_401,126.915821,113.831239,157.135664,71.268983,144.538529,157.346218,63.326138,49.469453,76.301873,91.673482,100.328552,112.566554,115.008143,115.133008,132.688246,77.580554,105.225379,361.217225,253.081717,233.121457,258.072339,147.72611,233.146906,389.128994,239.357732,289.531073,323.462133,341.997084,274.830136,323.104928,388.095775,326.582292,343.34016,393.560388
MAG_402,102.866558,66.386482,115.653885,76.799208,81.983398,104.360393,24.888985,43.93634,52.410233,61.678127,73.347006,85.341172,105.902744,57.533691,125.581599,143.480668,70.182457,265.5027,230.842562,294.387391,268.524888,496.672993,193.38171,250.44356,296.267352,277.495442,236.258618,251.115576,312.638954,340.159378,279.764779,292.887179,322.819261,248.331671
MAG_403,115.651222,149.232034,540.376359,123.40473,81.001808,247.011368,68.457615,64.515094,60.467324,96.022562,187.317285,130.438385,241.222257,142.918738,325.040223,307.507951,154.177594,307.680833,458.1094,1934.698356,528.316501,139.398506,330.334677,509.306859,707.247479,560.953957,748.0102,596.666257,526.297,793.679116,625.607102,905.547977,465.672865,1000.046649
MAG_404,202.392337,138.083372,585.803701,148.030943,147.162676,178.706653,107.293123,131.855228,107.975027,198.805568,262.555172,196.814097,297.618057,202.501586,295.519709,322.871146,174.210452,1148.000065,747.284212,1633.599739,1282.116662,1068.087479,652.159799,1524.166439,1681.532744,1565.685935,2179.319572,1933.116819,920.581568,2160.690035,1926.022232,1025.087801,1290.701058,1343.342061
MAG_405,198.18091,204.864568,310.67649,176.514452,181.303084,324.882217,64.47767,105.018083,142.06388,154.875379,160.665643,197.607151,238.608123,109.457608,327.528386,264.787171,163.974898,483.435819,609.092128,596.272366,572.77447,349.242244,494.432669,487.42964,366.130573,433.276838,606.176067,383.693872,491.496309,598.898376,325.684784,527.183207,754.50801,610.306625
MAG_406,325.455301,267.637833,511.942994,374.128648,337.227015,429.217329,137.923705,178.265298,204.040169,293.568487,260.278375,269.898042,371.293891,275.930024,403.829558,267.146032,358.271545,885.934312,565.801352,806.494837,1002.555864,333.042642,598.719677,1203.7203,606.820756,805.712741,600.329065,947.826608,705.753112,746.716626,860.097308,1034.669204,1058.908634,1203.319183
MAG_407,196.55488,126.265907,120.57487,110.503438,107.790701,99.016404,43.983732,108.410611,98.119042,150.806751,144.570334,127.739584,168.423228,148.083085,157.744989,164.099569,128.270215,91.241714,97.1329,96.342667,71.494051,134.775895,62.149322,78.706943,97.946905,78.376289,81.514346,62.720858,94.684461,74.529559,80.53957,135.071198,135.777729,110.402237
MAG_408,4.876582,4.802467,6.101386,3.342001,6.239327,4.133527,5.426047,6.43549,4.660325,5.289492,5.956258,6.351751,5.052206,4.176646,4.582603,6.020073,3.094489,7.292756,6.973508,5.848111,6.436713,15.117079,4.877955,5.062342,6.998862,5.453515,5.129339,4.91754,8.95686,6.498249,6.573112,7.856477,6.731893,5.191787
MAG_409,34.442658,34.636684,38.637987,23.836298,41.395045,70.246973,11.561984,14.651801,17.126553,22.019012,25.799224,26.513214,31.05393,31.9786,33.673717,22.915577,26.398358,85.643828,77.767572,51.786707,69.770192,79.745127,99.923099,69.940063,53.937806,61.709641,63.646122,64.836688,70.50444,58.175538,100.882083,78.374876,84.552506,91.576281
MAG_410,36.423356,29.600997,246.914187,32.715937,14.685488,46.403409,38.835969,29.802115,27.653798,63.14043,123.037494,73.355564,140.035326,63.015645,165.639431,147.536251,72.272011,301.363373,154.22968,697.956951,268.110003,87.550645,104.929667,479.253094,517.864594,616.733066,634.393462,670.200962,348.824086,775.575763,690.90086,663.401123,363.422736,530.445765
MAG_411,794.32311,1619.610418,573.969848,246.491323,277.401397,271.251564,95.812562,104.501417,217.532904,101.00029,178.041833,325.129422,253.043416,79.547967,203.879735,168.585455,1130.988669,197.778778,167.570787,86.553667,53.199879,70.165186,97.981774,53.295292,80.38197,47.663588,58.897665,60.663433,35.076313,62.922164,40.299765,65.176014,64.969758,574.960936
MAG_412,191.401063,249.613287,291.221566,179.943046,291.794141,448.815032,52.861916,110.122412,132.359328,140.635924,147.030821,219.415369,260.995843,93.893728,332.93705,359.4875,131.79632,559.552171,904.823353,850.076119,696.463286,577.041002,610.266203,613.864726,667.925484,713.281931,781.577266,405.075153,894.251649,785.8762,358.309048,818.276432,900.756165,594.428094
MAG_413,231.775507,163.904618,443.477396,152.219339,171.489957,270.291589,162.780238,186.392809,210.649745,354.875273,401.83429,330.491488,369.593756,233.766929,654.522138,440.988965,361.821995,481.321685,347.84988,628.748924,412.077786,251.715555,331.064617,765.587618,507.614697,535.277746,676.622763,715.264328,548.783883,668.173014,594.306845,958.328298,783.879144,743.991445
