"phenotype","name","coefficient","p_value","p_adj"
"PGW","AA1",48.9921046846507,0.0560324893978334,0.245202004886245
"PGW","AA10",-3.70747536338915,0.775368753478124,0.93629434382264
"PGW","AA12",-15.8345317891954,0.346646201396294,0.677415477537796
"PGW","AA1_2",-16.4065736536206,0.670710059333883,0.880521924048585
"PGW","AA1_3",28.2198951308986,8.1438232895031e-06,0.000463107535613742
"PGW","AA2",-15.4425394296492,0.155114207502897,0.446171203603837
"PGW","AA3",6.92851137919601,0.793226868585073,0.94159929595317
"PGW","AA3_1",-25.0622814669517,0.0463594196871112,0.219777989627786
"PGW","AA3_2",-36.1019113080051,0.0823917355253943,0.299181337510652
"PGW","AA3_4",8.51399922300925,0.0744001930811576,0.278050356624472
"PGW","AA4",94.4602196006034,0.000987298021918531,0.0123291850542021
"PGW","AA5",2.22552161034117,0.808752535728342,0.942941938832236
"PGW","AA5_2",1.79555953349193,0.795739522903912,0.94159929595317
"PGW","AA6",10.5404045326815,0.681192645181161,0.887601795954759
"PGW","AA7",9.11407433869103,0.719724884787736,0.905637280384559
"PGW","CBM11",5.30501332446079,0.443104099152189,0.748743560283567
"PGW","CBM12",-0.669657222596397,0.88146688957424,0.948356540013852
"PGW","CBM13",-6.04918187331484,0.58405108457175,0.850941210650112
"PGW","CBM16",4.76226086652765,0.665263487061562,0.880141874355348
"PGW","CBM17",20.3318230227889,7.60024456021623e-06,0.000463107535613742
"PGW","CBM2",-4.74626092313702,0.645223599180721,0.875521127348393
"PGW","CBM20",-10.6392012437262,0.516798178517629,0.801820204245534
"PGW","CBM21",-10.5013859613839,0.311403259583852,0.652279946443579
"PGW","CBM22",28.7659437228627,6.84389743395909e-06,0.000463107535613742
"PGW","CBM23",0.332753174692548,0.960793422122724,0.979631226336607
"PGW","CBM25",0.566094079011031,0.903409564900266,0.957890531284937
"PGW","CBM26",-1.5691424508993,0.872174386709163,0.948356540013852
"PGW","CBM27",23.4423579122959,0.00279380881604902,0.0269892474305113
"PGW","CBM28",32.7181295913586,3.07618889784e-06,0.000315001743138816
"PGW","CBM3",-20.7527825314431,0.0679389171612682,0.265532256386025
"PGW","CBM30",5.94015266604948,0.422992503683674,0.735318049969733
"PGW","CBM31",323.062772457062,0.187415161168191,0.490106401624271
"PGW","CBM32",-2.46956728189515,0.84659328229073,0.948356540013852
"PGW","CBM34",9.79943842876089,2.33001502794064e-05,0.000724531458735361
"PGW","CBM35",-7.54722328334035,0.496411071007083,0.779364309056378
"PGW","CBM36",7.62379400055325,0.0619608186634937,0.25379151324567
"PGW","CBM38",23.3025855458309,0.0307025733245821,0.183122200081645
"PGW","CBM4",0.295632378150076,0.976552133431741,0.986182825082942
"PGW","CBM40",11.5499206354677,0.625416980032289,0.870145363523185
"PGW","CBM41",19.7354891396226,0.0393664214057934,0.207697415121018
"PGW","CBM42",-4.49227370915253,0.662054696075595,0.880141874355348
"PGW","CBM44",-2.64925980296841,0.719910884993195,0.905637280384559
"PGW","CBM46",-7.38719683515899,0.33827248686787,0.665092845424047
"PGW","CBM47",-9.01288498608726,0.217292797516672,0.51987809499316
"PGW","CBM48",-13.7613322169093,0.497758064573117,0.779364309056378
"PGW","CBM5",-15.2385418925485,0.117642842615655,0.367275215970826
"PGW","CBM50",7.78639435695964,0.000925234432130798,0.0118430007312742
"PGW","CBM51",1.68812619424701,0.880168428255798,0.948356540013852
"PGW","CBM54",5.72830302796722,0.0129815314611224,0.0963267262042709
"PGW","CBM56",-5.65776939382274,0.289909712033832,0.634332361373171
"PGW","CBM57",-17.8507498821633,0.0402482807569707,0.208152724722919
"PGW","CBM59",28.2218711822928,0.000290573781055179,0.0043994579663423
"PGW","CBM6",-16.8746515432599,0.235727226429636,0.548601545145334
