KO,L1,level1,L2,level2,L3,pathway,Description
K00239,l1_09100,Metabolism,l1_09102,Energy metabolism,map00720,Carbon fixation pathways in prokaryotes [PATH:ko00720],succinate dehydrogenase flavoprotein subunit  [EC:1.3.5.1] 
K00239,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00650,Butanoate metabolism [PATH:ko00650],succinate dehydrogenase flavoprotein subunit  [EC:1.3.5.1] 
K00239,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00020,Citrate cycle (TCA cycle) [PATH:ko00020],succinate dehydrogenase flavoprotein subunit  [EC:1.3.5.1] 
K00240,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00020,Citrate cycle (TCA cycle) [PATH:ko00020],succinate dehydrogenase iron-sulfur subunit  [EC:1.3.5.1] 
K00240,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00650,Butanoate metabolism [PATH:ko00650],succinate dehydrogenase iron-sulfur subunit  [EC:1.3.5.1] 
K00240,l1_09100,Metabolism,l1_09102,Energy metabolism,map00720,Carbon fixation pathways in prokaryotes [PATH:ko00720],succinate dehydrogenase iron-sulfur subunit  [EC:1.3.5.1] 
K00240,l1_09100,Metabolism,l1_09102,Energy metabolism,map00190,Oxidative phosphorylation [PATH:ko00190],succinate dehydrogenase iron-sulfur subunit  [EC:1.3.5.1] 
K00241,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00650,Butanoate metabolism [PATH:ko00650],succinate dehydrogenase cytochrome b subunit 
K00241,l1_09100,Metabolism,l1_09102,Energy metabolism,map00720,Carbon fixation pathways in prokaryotes [PATH:ko00720],succinate dehydrogenase cytochrome b subunit 
K00241,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00020,Citrate cycle (TCA cycle) [PATH:ko00020],succinate dehydrogenase cytochrome b subunit 
K00241,l1_09100,Metabolism,l1_09102,Energy metabolism,map00190,Oxidative phosphorylation [PATH:ko00190],succinate dehydrogenase cytochrome b subunit 
K00242,l1_09100,Metabolism,l1_09102,Energy metabolism,map00720,Carbon fixation pathways in prokaryotes [PATH:ko00720],succinate dehydrogenase membrane anchor subunit 
K00242,l1_09100,Metabolism,l1_09102,Energy metabolism,map00190,Oxidative phosphorylation [PATH:ko00190],succinate dehydrogenase membrane anchor subunit 
K00242,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00650,Butanoate metabolism [PATH:ko00650],succinate dehydrogenase membrane anchor subunit 
K00242,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00020,Citrate cycle (TCA cycle) [PATH:ko00020],succinate dehydrogenase membrane anchor subunit 
K00244,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00020,Citrate cycle (TCA cycle) [PATH:ko00020],succinate dehydrogenase flavoprotein subunit  [EC:1.3.5.1] 
K00244,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00650,Butanoate metabolism [PATH:ko00650],succinate dehydrogenase flavoprotein subunit  [EC:1.3.5.1] 
K00244,l1_09100,Metabolism,l1_09102,Energy metabolism,map00190,Oxidative phosphorylation [PATH:ko00190],succinate dehydrogenase flavoprotein subunit  [EC:1.3.5.1] 
