KO,L1,level1,L2,level2,L3,pathway,Description
K00001,l1_09100,Metabolism,l1_09108,Metabolism of cofactors and vitamins,map00830,Retinol metabolism [PATH:ko00830],alcohol dehydrogenase  [EC:1.1.1.1] 
K00001,l1_09100,Metabolism,l1_09111,Xenobiotics biodegradation and metabolism,map00982,Drug metabolism - cytochrome P450 [PATH:ko00982],alcohol dehydrogenase  [EC:1.1.1.1] 
K00001,l1_09100,Metabolism,l1_09111,Xenobiotics biodegradation and metabolism,map00625,Chloroalkane and chloroalkene degradation [PATH:ko00625],alcohol dehydrogenase  [EC:1.1.1.1] 
K00001,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010],alcohol dehydrogenase  [EC:1.1.1.1] 
K00001,l1_09100,Metabolism,l1_09111,Xenobiotics biodegradation and metabolism,map00626,Naphthalene degradation [PATH:ko00626],alcohol dehydrogenase  [EC:1.1.1.1] 
K00001,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],alcohol dehydrogenase  [EC:1.1.1.1] 
K00001,l1_09100,Metabolism,l1_09111,Xenobiotics biodegradation and metabolism,map00980,Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980],alcohol dehydrogenase  [EC:1.1.1.1] 
K00001,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00350,Tyrosine metabolism [PATH:ko00350],alcohol dehydrogenase  [EC:1.1.1.1] 
K00001,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00071,Fatty acid degradation [PATH:ko00071],alcohol dehydrogenase  [EC:1.1.1.1] 
K00002,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00053,Ascorbate and aldarate metabolism [PATH:ko00053],alcohol dehydrogenase (NADP+)  [EC:1.1.1.2] 
K00002,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00040,Pentose and glucuronate interconversions [PATH:ko00040],alcohol dehydrogenase (NADP+)  [EC:1.1.1.2] 
K00002,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010],alcohol dehydrogenase (NADP+)  [EC:1.1.1.2] 
K00002,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],alcohol dehydrogenase (NADP+)  [EC:1.1.1.2] 
K00002,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00561,Glycerolipid metabolism [PATH:ko00561],alcohol dehydrogenase (NADP+)  [EC:1.1.1.2] 
K00002,l1_09100,Metabolism,l1_09111,Xenobiotics biodegradation and metabolism,map00930,Caprolactam degradation [PATH:ko00930],alcohol dehydrogenase (NADP+)  [EC:1.1.1.2] 
K00003,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00300,Lysine biosynthesis [PATH:ko00300],homoserine dehydrogenase  [EC:1.1.1.3] 
K00003,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00260,"Glycine, serine and threonine metabolism [PATH:ko00260]",homoserine dehydrogenase  [EC:1.1.1.3] 
K00003,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00270,Cysteine and methionine metabolism [PATH:ko00270],homoserine dehydrogenase  [EC:1.1.1.3] 
K00004,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00650,Butanoate metabolism [PATH:ko00650],"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase  [EC:1.1.1.4 1.1.1.- 1.1.1.303] "
K00005,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00640,Propanoate metabolism [PATH:ko00640],glycerol dehydrogenase  [EC:1.1.1.6] 
K00005,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00561,Glycerolipid metabolism [PATH:ko00561],glycerol dehydrogenase  [EC:1.1.1.6] 
K00006,l1_09130,Environmental Information Processing,l1_09132,Signal transduction,map04011,MAPK signaling pathway [PATH:ko04010],glycerol-3-phosphate dehydrogenase (NAD+)  [EC:1.1.1.8] 
K00006,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00564,Glycerophospholipid metabolism [PATH:ko00564],glycerol-3-phosphate dehydrogenase (NAD+)  [EC:1.1.1.8] 
K00007,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00051,Fructose and mannose metabolism [PATH:ko00051],D-arabinitol 4-dehydrogenase  [EC:1.1.1.11] 
K00007,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00040,Pentose and glucuronate interconversions [PATH:ko00040],D-arabinitol 4-dehydrogenase  [EC:1.1.1.11] 
K00008,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00051,Fructose and mannose metabolism [PATH:ko00051],L-iditol 2-dehydrogenase  [EC:1.1.1.14] 
K00008,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00040,Pentose and glucuronate interconversions [PATH:ko00040],L-iditol 2-dehydrogenase  [EC:1.1.1.14] 
K00009,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00051,Fructose and mannose metabolism [PATH:ko00051],mannitol-1-phosphate 5-dehydrogenase  [EC:1.1.1.17] 
K00010,l1_09100,Metabolism,l1_09110,Biosynthesis of other secondary metabolites,map00521,Streptomycin biosynthesis [PATH:ko00521],myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase  [EC:1.1.1.18 1.1.1.369] 
K00010,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00562,Inositol phosphate metabolism [PATH:ko00562],myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase  [EC:1.1.1.18 1.1.1.369] 
K00011,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00561,Glycerolipid metabolism [PATH:ko00561],aldehyde reductase  [EC:1.1.1.21] 
K00011,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00051,Fructose and mannose metabolism [PATH:ko00051],aldehyde reductase  [EC:1.1.1.21] 
K00011,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00040,Pentose and glucuronate interconversions [PATH:ko00040],aldehyde reductase  [EC:1.1.1.21] 
K00011,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00052,Galactose metabolism [PATH:ko00052],aldehyde reductase  [EC:1.1.1.21] 
K00011,l1_09100,Metabolism,l1_09108,Metabolism of cofactors and vitamins,map00790,Folate biosynthesis [PATH:ko00790],aldehyde reductase  [EC:1.1.1.21] 
K00012,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00040,Pentose and glucuronate interconversions [PATH:ko00040],UDPglucose 6-dehydrogenase  [EC:1.1.1.22] 
K00012,l1_09100,Metabolism,l1_09107,Glycan biosynthesis and metabolism,map00541,O-Antigen nucleotide sugar biosynthesis [PATH:ko00541],UDPglucose 6-dehydrogenase  [EC:1.1.1.22] 
K00012,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00520,Amino sugar and nucleotide sugar metabolism [PATH:ko00520],UDPglucose 6-dehydrogenase  [EC:1.1.1.22] 
K00012,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00053,Ascorbate and aldarate metabolism [PATH:ko00053],UDPglucose 6-dehydrogenase  [EC:1.1.1.22] 
K00013,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00340,Histidine metabolism [PATH:ko00340],histidinol dehydrogenase  [EC:1.1.1.23] 
K00014,l1_09100,Metabolism,l1_09110,Biosynthesis of other secondary metabolites,map00999,Biosynthesis of various plant secondary metabolites [PATH:ko00999],shikimate dehydrogenase  [EC:1.1.1.25] 
K00014,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00400,"Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]",shikimate dehydrogenase  [EC:1.1.1.25] 
K00015,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00630,Glyoxylate and dicarboxylate metabolism [PATH:ko00630],glyoxylate reductase  [EC:1.1.1.26] 
K00016,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00640,Propanoate metabolism [PATH:ko00640],L-lactate dehydrogenase  [EC:1.1.1.27] 
K00016,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],L-lactate dehydrogenase  [EC:1.1.1.27] 
K00016,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010],L-lactate dehydrogenase  [EC:1.1.1.27] 
K00016,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00270,Cysteine and methionine metabolism [PATH:ko00270],L-lactate dehydrogenase  [EC:1.1.1.27] 
K00016,l1_09130,Environmental Information Processing,l1_09132,Signal transduction,map04066,HIF-1 signaling pathway [PATH:ko04066],L-lactate dehydrogenase  [EC:1.1.1.27] 
K00018,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00260,"Glycine, serine and threonine metabolism [PATH:ko00260]",glycerate dehydrogenase  [EC:1.1.1.29] 
K00018,l1_09100,Metabolism,l1_09102,Energy metabolism,map00680,Methane metabolism [PATH:ko00680],glycerate dehydrogenase  [EC:1.1.1.29] 
K00018,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00630,Glyoxylate and dicarboxylate metabolism [PATH:ko00630],glycerate dehydrogenase  [EC:1.1.1.29] 
K00019,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00650,Butanoate metabolism [PATH:ko00650],3-hydroxybutyrate dehydrogenase  [EC:1.1.1.30] 
K00020,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00280,"Valine, leucine and isoleucine degradation [PATH:ko00280]",3-hydroxyisobutyrate dehydrogenase  [EC:1.1.1.31] 
K00021,l1_09130,Environmental Information Processing,l1_09132,Signal transduction,map04152,AMPK signaling pathway [PATH:ko04152],hydroxymethylglutaryl-CoA reductase (NADPH)  [EC:1.1.1.34] 
K00021,l1_09100,Metabolism,l1_09109,Metabolism of terpenoids and polyketides,map00900,Terpenoid backbone biosynthesis [PATH:ko00900],hydroxymethylglutaryl-CoA reductase (NADPH)  [EC:1.1.1.34] 
K00022,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00062,Fatty acid elongation [PATH:ko00062],3-hydroxyacyl-CoA dehydrogenase  [EC:1.1.1.35] 
K00022,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00310,Lysine degradation [PATH:ko00310],3-hydroxyacyl-CoA dehydrogenase  [EC:1.1.1.35] 
K00022,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00650,Butanoate metabolism [PATH:ko00650],3-hydroxyacyl-CoA dehydrogenase  [EC:1.1.1.35] 
K00022,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00280,"Valine, leucine and isoleucine degradation [PATH:ko00280]",3-hydroxyacyl-CoA dehydrogenase  [EC:1.1.1.35] 
K00022,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00380,Tryptophan metabolism [PATH:ko00380],3-hydroxyacyl-CoA dehydrogenase  [EC:1.1.1.35] 
K00022,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00071,Fatty acid degradation [PATH:ko00071],3-hydroxyacyl-CoA dehydrogenase  [EC:1.1.1.35] 
K00022,l1_09100,Metabolism,l1_09111,Xenobiotics biodegradation and metabolism,map00930,Caprolactam degradation [PATH:ko00930],3-hydroxyacyl-CoA dehydrogenase  [EC:1.1.1.35] 
K00022,l1_09100,Metabolism,l1_09109,Metabolism of terpenoids and polyketides,map00907,"Pinene, camphor and geraniol degradation [PATH:ko00907]",3-hydroxyacyl-CoA dehydrogenase  [EC:1.1.1.35] 
K00023,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00630,Glyoxylate and dicarboxylate metabolism [PATH:ko00630],acetoacetyl-CoA reductase  [EC:1.1.1.36] 
K00023,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00650,Butanoate metabolism [PATH:ko00650],acetoacetyl-CoA reductase  [EC:1.1.1.36] 
K00024,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00630,Glyoxylate and dicarboxylate metabolism [PATH:ko00630],malate dehydrogenase  [EC:1.1.1.37] 
K00024,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00020,Citrate cycle (TCA cycle) [PATH:ko00020],malate dehydrogenase  [EC:1.1.1.37] 
K00024,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],malate dehydrogenase  [EC:1.1.1.37] 
K00024,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00270,Cysteine and methionine metabolism [PATH:ko00270],malate dehydrogenase  [EC:1.1.1.37] 
K00024,l1_09100,Metabolism,l1_09102,Energy metabolism,map00710,Carbon fixation in photosynthetic organisms [PATH:ko00710],malate dehydrogenase  [EC:1.1.1.37] 
K00024,l1_09100,Metabolism,l1_09102,Energy metabolism,map00680,Methane metabolism [PATH:ko00680],malate dehydrogenase  [EC:1.1.1.37] 
K00024,l1_09100,Metabolism,l1_09102,Energy metabolism,map00720,Carbon fixation pathways in prokaryotes [PATH:ko00720],malate dehydrogenase  [EC:1.1.1.37] 
K00025,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],malate dehydrogenase  [EC:1.1.1.37] 
K00025,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00270,Cysteine and methionine metabolism [PATH:ko00270],malate dehydrogenase  [EC:1.1.1.37] 
K00025,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00630,Glyoxylate and dicarboxylate metabolism [PATH:ko00630],malate dehydrogenase  [EC:1.1.1.37] 
K00025,l1_09100,Metabolism,l1_09102,Energy metabolism,map00710,Carbon fixation in photosynthetic organisms [PATH:ko00710],malate dehydrogenase  [EC:1.1.1.37] 
K00025,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00020,Citrate cycle (TCA cycle) [PATH:ko00020],malate dehydrogenase  [EC:1.1.1.37] 
K00026,l1_09100,Metabolism,l1_09102,Energy metabolism,map00710,Carbon fixation in photosynthetic organisms [PATH:ko00710],malate dehydrogenase  [EC:1.1.1.37] 
K00026,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00270,Cysteine and methionine metabolism [PATH:ko00270],malate dehydrogenase  [EC:1.1.1.37] 
K00026,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],malate dehydrogenase  [EC:1.1.1.37] 
K00026,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00630,Glyoxylate and dicarboxylate metabolism [PATH:ko00630],malate dehydrogenase  [EC:1.1.1.37] 
K00026,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00020,Citrate cycle (TCA cycle) [PATH:ko00020],malate dehydrogenase  [EC:1.1.1.37] 
K00027,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],malate dehydrogenase (oxaloacetate-decarboxylating)  [EC:1.1.1.38] 
K00027,l1_09130,Environmental Information Processing,l1_09132,Signal transduction,map02020,Two-component system [PATH:ko02020],malate dehydrogenase (oxaloacetate-decarboxylating)  [EC:1.1.1.38] 
K00028,l1_09100,Metabolism,l1_09102,Energy metabolism,map00710,Carbon fixation in photosynthetic organisms [PATH:ko00710],malate dehydrogenase (decarboxylating)  [EC:1.1.1.39] 
K00028,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],malate dehydrogenase (decarboxylating)  [EC:1.1.1.39] 
K00029,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)  [EC:1.1.1.40] 
K00029,l1_09100,Metabolism,l1_09102,Energy metabolism,map00710,Carbon fixation in photosynthetic organisms [PATH:ko00710],malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)  [EC:1.1.1.40] 
K00030,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00020,Citrate cycle (TCA cycle) [PATH:ko00020],isocitrate dehydrogenase (NAD+)  [EC:1.1.1.41] 
K00031,l1_09100,Metabolism,l1_09106,Metabolism of other amino acids,map00480,Glutathione metabolism [PATH:ko00480],isocitrate dehydrogenase  [EC:1.1.1.42] 
K00031,l1_09140,Cellular Processes,l1_09141,Transport and catabolism,map04146,Peroxisome [PATH:ko04146],isocitrate dehydrogenase  [EC:1.1.1.42] 
K00031,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00020,Citrate cycle (TCA cycle) [PATH:ko00020],isocitrate dehydrogenase  [EC:1.1.1.42] 
K00031,l1_09100,Metabolism,l1_09102,Energy metabolism,map00720,Carbon fixation pathways in prokaryotes [PATH:ko00720],isocitrate dehydrogenase  [EC:1.1.1.42] 
K00032,l1_09100,Metabolism,l1_09106,Metabolism of other amino acids,map00480,Glutathione metabolism [PATH:ko00480],phosphogluconate 2-dehydrogenase  [EC:1.1.1.43] 
K00032,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00030,Pentose phosphate pathway [PATH:ko00030],phosphogluconate 2-dehydrogenase  [EC:1.1.1.43] 
K00033,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00030,Pentose phosphate pathway [PATH:ko00030],6-phosphogluconate dehydrogenase  [EC:1.1.1.44 1.1.1.343] 
K00033,l1_09100,Metabolism,l1_09106,Metabolism of other amino acids,map00480,Glutathione metabolism [PATH:ko00480],6-phosphogluconate dehydrogenase  [EC:1.1.1.44 1.1.1.343] 
K00034,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00030,Pentose phosphate pathway [PATH:ko00030],glucose 1-dehydrogenase  [EC:1.1.1.47] 
K00035,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00052,Galactose metabolism [PATH:ko00052],D-galactose 1-dehydrogenase  [EC:1.1.1.48] 
K00036,l1_09100,Metabolism,l1_09106,Metabolism of other amino acids,map00480,Glutathione metabolism [PATH:ko00480],glucose-6-phosphate 1-dehydrogenase  [EC:1.1.1.49 1.1.1.363] 
K00036,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00030,Pentose phosphate pathway [PATH:ko00030],glucose-6-phosphate 1-dehydrogenase  [EC:1.1.1.49 1.1.1.363] 
K00037,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00120,Primary bile acid biosynthesis [PATH:ko00120],3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase  [EC:1.1.1.50 1.1.1.357 1.1.1.225] 
K00037,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00140,Steroid hormone biosynthesis [PATH:ko00140],3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase  [EC:1.1.1.50 1.1.1.357 1.1.1.225] 
K00038,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00140,Steroid hormone biosynthesis [PATH:ko00140],3alpha(or 20beta)-hydroxysteroid dehydrogenase  [EC:1.1.1.53] 
K00039,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00040,Pentose and glucuronate interconversions [PATH:ko00040],ribitol 2-dehydrogenase  [EC:1.1.1.56] 
K00040,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00040,Pentose and glucuronate interconversions [PATH:ko00040],fructuronate reductase  [EC:1.1.1.57] 
K00041,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00040,Pentose and glucuronate interconversions [PATH:ko00040],tagaturonate reductase  [EC:1.1.1.58] 
K00042,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00630,Glyoxylate and dicarboxylate metabolism [PATH:ko00630],2-hydroxy-3-oxopropionate reductase  [EC:1.1.1.60] 
K00043,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00650,Butanoate metabolism [PATH:ko00650],4-hydroxybutyrate dehydrogenase  [EC:1.1.1.61] 
K00044,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00140,Steroid hormone biosynthesis [PATH:ko00140],17beta-estradiol 17-dehydrogenase  [EC:1.1.1.62] 
K00045,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00051,Fructose and mannose metabolism [PATH:ko00051],mannitol 2-dehydrogenase  [EC:1.1.1.67] 
K00048,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00640,Propanoate metabolism [PATH:ko00640],lactaldehyde reductase  [EC:1.1.1.77] 
K00048,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00630,Glyoxylate and dicarboxylate metabolism [PATH:ko00630],lactaldehyde reductase  [EC:1.1.1.77] 
K00049,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00630,Glyoxylate and dicarboxylate metabolism [PATH:ko00630],glyoxylate/hydroxypyruvate reductase  [EC:1.1.1.79 1.1.1.81] 
K00049,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00260,"Glycine, serine and threonine metabolism [PATH:ko00260]",glyoxylate/hydroxypyruvate reductase  [EC:1.1.1.79 1.1.1.81] 
K00049,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],glyoxylate/hydroxypyruvate reductase  [EC:1.1.1.79 1.1.1.81] 
K00051,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],malate dehydrogenase (NADP+)  [EC:1.1.1.82] 
K00051,l1_09100,Metabolism,l1_09102,Energy metabolism,map00710,Carbon fixation in photosynthetic organisms [PATH:ko00710],malate dehydrogenase (NADP+)  [EC:1.1.1.82] 
K00052,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00290,"Valine, leucine and isoleucine biosynthesis [PATH:ko00290]",3-isopropylmalate dehydrogenase  [EC:1.1.1.85] 
K00052,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00660,C5-Branched dibasic acid metabolism [PATH:ko00660],3-isopropylmalate dehydrogenase  [EC:1.1.1.85] 
K00053,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00290,"Valine, leucine and isoleucine biosynthesis [PATH:ko00290]",ketol-acid reductoisomerase  [EC:1.1.1.86] 
K00053,l1_09100,Metabolism,l1_09108,Metabolism of cofactors and vitamins,map00770,Pantothenate and CoA biosynthesis [PATH:ko00770],ketol-acid reductoisomerase  [EC:1.1.1.86] 
K00054,l1_09100,Metabolism,l1_09109,Metabolism of terpenoids and polyketides,map00900,Terpenoid backbone biosynthesis [PATH:ko00900],hydroxymethylglutaryl-CoA reductase  [EC:1.1.1.88] 
K00055,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00350,Tyrosine metabolism [PATH:ko00350],aryl-alcohol dehydrogenase  [EC:1.1.1.90] 
K00055,l1_09100,Metabolism,l1_09111,Xenobiotics biodegradation and metabolism,map00623,Toluene degradation [PATH:ko00623],aryl-alcohol dehydrogenase  [EC:1.1.1.90] 
K00055,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00360,Phenylalanine metabolism [PATH:ko00360],aryl-alcohol dehydrogenase  [EC:1.1.1.90] 
K00055,l1_09100,Metabolism,l1_09111,Xenobiotics biodegradation and metabolism,map00622,Xylene degradation [PATH:ko00622],aryl-alcohol dehydrogenase  [EC:1.1.1.90] 
K00057,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00564,Glycerophospholipid metabolism [PATH:ko00564],glycerol-3-phosphate dehydrogenase (NAD(P)+)  [EC:1.1.1.94] 
K00058,l1_09100,Metabolism,l1_09102,Energy metabolism,map00680,Methane metabolism [PATH:ko00680],D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase  [EC:1.1.1.95 1.1.1.399] 
K00058,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00270,Cysteine and methionine metabolism [PATH:ko00270],D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase  [EC:1.1.1.95 1.1.1.399] 
K00058,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00260,"Glycine, serine and threonine metabolism [PATH:ko00260]",D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase  [EC:1.1.1.95 1.1.1.399] 
K00059,l1_09100,Metabolism,l1_09108,Metabolism of cofactors and vitamins,map00780,Biotin metabolism [PATH:ko00780],3-oxoacyl-[acyl-carrier protein] reductase  [EC:1.1.1.100] 
K00059,l1_09100,Metabolism,l1_09110,Biosynthesis of other secondary metabolites,map00333,Prodigiosin biosynthesis [PATH:ko00333],3-oxoacyl-[acyl-carrier protein] reductase  [EC:1.1.1.100] 
K00059,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00061,Fatty acid biosynthesis [PATH:ko00061],3-oxoacyl-[acyl-carrier protein] reductase  [EC:1.1.1.100] 
K00060,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00260,"Glycine, serine and threonine metabolism [PATH:ko00260]",threonine 3-dehydrogenase  [EC:1.1.1.103] 
K00061,l1_09100,Metabolism,l1_09108,Metabolism of cofactors and vitamins,map00830,Retinol metabolism [PATH:ko00830],11-cis-retinol dehydrogenase  [EC:1.1.1.315] 
K00062,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00053,Ascorbate and aldarate metabolism [PATH:ko00053],D-arabinose 1-dehydrogenase  [EC:1.1.1.116] 
K00063,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00053,Ascorbate and aldarate metabolism [PATH:ko00053],D-arabinose 1-dehydrogenase  [EC:1.1.1.117] 
K00064,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00051,Fructose and mannose metabolism [PATH:ko00051],D-threo-aldose 1-dehydrogenase  [EC:1.1.1.122] 
K00064,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00053,Ascorbate and aldarate metabolism [PATH:ko00053],D-threo-aldose 1-dehydrogenase  [EC:1.1.1.122] 
K00065,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00040,Pentose and glucuronate interconversions [PATH:ko00040],2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase  [EC:1.1.1.127] 
K00066,l1_09130,Environmental Information Processing,l1_09132,Signal transduction,map02020,Two-component system [PATH:ko02020],GDP-mannose 6-dehydrogenase  [EC:1.1.1.132] 
K00066,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00051,Fructose and mannose metabolism [PATH:ko00051],GDP-mannose 6-dehydrogenase  [EC:1.1.1.132] 
K00066,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00520,Amino sugar and nucleotide sugar metabolism [PATH:ko00520],GDP-mannose 6-dehydrogenase  [EC:1.1.1.132] 
K00067,l1_09100,Metabolism,l1_09110,Biosynthesis of other secondary metabolites,map00521,Streptomycin biosynthesis [PATH:ko00521],dTDP-4-dehydrorhamnose reductase  [EC:1.1.1.133] 
K00067,l1_09100,Metabolism,l1_09107,Glycan biosynthesis and metabolism,map00541,O-Antigen nucleotide sugar biosynthesis [PATH:ko00541],dTDP-4-dehydrorhamnose reductase  [EC:1.1.1.133] 
K00067,l1_09100,Metabolism,l1_09109,Metabolism of terpenoids and polyketides,map00523,Polyketide sugar unit biosynthesis [PATH:ko00523],dTDP-4-dehydrorhamnose reductase  [EC:1.1.1.133] 
K00068,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00051,Fructose and mannose metabolism [PATH:ko00051],sorbitol-6-phosphate 2-dehydrogenase  [EC:1.1.1.140] 
K00069,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00590,Arachidonic acid metabolism [PATH:ko00590],15-hydroxyprostaglandin dehydrogenase (NAD)  [EC:1.1.1.141] 
