sample	shannon	simpson	richness
YL.RP.1488	5.25484661571984	0.989370628228552	595
YL.RP.342	5.23364679389607	0.987453122501656	594
YL.RP.348	5.26630540789493	0.985339082555396	595
YL.RP.977	4.80303280827641	0.968268341164133	595
YL.RP.995	5.14622035549867	0.982806619302594	594
YL.RP.9	5.17717057262149	0.983155498704573	595
YL.RP.Si051	4.50169845474331	0.970515001486797	595
YL.RP.Si062	4.80541185682498	0.978774470116331	595
YL.RP.Si079	4.91603624120992	0.981822481073836	594
YL.RP.Si080	4.95092168654781	0.977841320039593	595
YL.RP.Si081	5.25243714571746	0.989675737074305	594
YL.RP.Si083	5.22996813147332	0.988562080186738	595
YL.RP.Si090	5.3253091858862	0.989971371073972	595
YL.RP.Si214	4.7703367955941	0.969077268069674	595
YL.RP.Si248	5.29638532019994	0.987330137568234	595
YL.RP.Si249	5.15622098179732	0.978918005631677	595
YL.RP.Si268	4.88794153321113	0.974802278554372	595
YL.RS.1488	5.41698612876264	0.98976313537211	595
YL.RS.342	5.39634647780396	0.99054123176718	595
YL.RS.348	5.34421741496971	0.990822624301182	595
YL.RS.977	5.34015631480183	0.989936139768713	595
YL.RS.995	5.34784862069215	0.990959251290519	595
YL.RS.9	5.19859755926316	0.986408888148181	595
YL.RS.Si051	5.3828401700386	0.989252146097822	594
YL.RS.Si062	5.47411394788817	0.990393138231769	595
YL.RS.Si079	5.34426415507341	0.990164892532251	595
YL.RS.Si080	5.49305850909802	0.991963724317842	595
YL.RS.Si081	5.34912234122448	0.987912211379785	595
YL.RS.Si083	5.3275971528585	0.989684257064207	595
YL.RS.Si090	5.27668068825491	0.987602154315834	594
YL.RS.Si214	5.31755255280689	0.984825509657117	595
YL.RS.Si248	5.51693578591225	0.99257596865103	595
YL.RS.Si249	5.40128647580651	0.990791876746352	595
YL.RS.Si268	5.50659023605798	0.991569024386873	595
